sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
1,1,1,0,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,14.493,15.842,1.348,transcript_media/en/ZS_F1_0001_en.mp3,F1-GMS-0001A 00:14.49-00:15.84
2,1,1,3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,25.398,26.481,1.084,transcript_media/en/ZS_F1_0002_en.mp3,F1-GMS-0001A 00:25.40-00:26.48
3,1,1,6,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,36.374,37.801,1.427,transcript_media/en/ZS_F1_0003_en.mp3,F1-GMS-0001A 00:36.37-00:37.80
4,1,1,9,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,47.224,48.733,1.508,transcript_media/en/ZS_F1_0004_en.mp3,F1-GMS-0001A 00:47.22-00:48.73
5,1,1,12,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,58.201,59.907,1.706,transcript_media/en/ZS_F1_0005_en.mp3,F1-GMS-0001A 00:58.20-00:59.91
6,1,1,15,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,70.284,72.831,2.547,transcript_media/en/ZS_F1_0006_en.mp3,F1-GMS-0001A 01:10.28-01:12.83
7,1,1,18,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,84.153,87.047,2.894,transcript_media/en/ZS_F1_0007_en.mp3,F1-GMS-0001A 01:24.15-01:27.05
8,1,1,21,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,97.956,99.567,1.611,transcript_media/en/ZS_F1_0008_en.mp3,F1-GMS-0001A 01:37.96-01:39.57
9,1,1,24,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,109.565,110.818,1.254,transcript_media/en/ZS_F1_0009_en.mp3,F1-GMS-0001A 01:49.56-01:50.82
10,1,1,27,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,121.607,123.151,1.544,transcript_media/en/ZS_F1_0010_en.mp3,F1-GMS-0001A 02:01.61-02:03.15
11,1,1,30,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,132.723,133.582,0.859,transcript_media/en/ZS_F1_0011_en.mp3,F1-GMS-0001A 02:12.72-02:13.58
12,1,1,33,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,141.045,144.038,2.992,transcript_media/en/ZS_F1_0012_en.mp3,F1-GMS-0001A 02:21.05-02:24.04
13,1,1,36,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,154.217,156.808,2.591,transcript_media/en/ZS_F1_0013_en.mp3,F1-GMS-0001A 02:34.22-02:36.81
14,1,1,39,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,168.840,171.645,2.805,transcript_media/en/ZS_F1_0014_en.mp3,F1-GMS-0001A 02:48.84-02:51.64
15,1,1,42,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,183.338,186.367,3.029,transcript_media/en/ZS_F1_0015_en.mp3,F1-GMS-0001A 03:03.34-03:06.37
16,1,1,45,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,197.202,200.539,3.337,transcript_media/en/ZS_F1_0016_en.mp3,F1-GMS-0001A 03:17.20-03:20.54
17,1,1,48,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,206.385,210.119,3.735,transcript_media/en/ZS_F1_0017_en.mp3,F1-GMS-0001A 03:26.38-03:30.12
18,1,1,51,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,220.845,223.900,3.055,transcript_media/en/ZS_F1_0018_en.mp3,F1-GMS-0001A 03:40.85-03:43.90
19,1,1,54,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,232.774,234.488,1.713,transcript_media/en/ZS_F1_0019_en.mp3,F1-GMS-0001A 03:52.77-03:54.49
20,1,1,57,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,242.220,243.863,1.643,transcript_media/en/ZS_F1_0020_en.mp3,F1-GMS-0001A 04:02.22-04:03.86
21,1,1,60,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,252.109,253.545,1.437,transcript_media/en/ZS_F1_0021_en.mp3,F1-GMS-0001A 04:12.11-04:13.55
22,1,1,63,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,261.584,263.047,1.463,transcript_media/en/ZS_F1_0022_en.mp3,F1-GMS-0001A 04:21.58-04:23.05
