volume,group_start,version,issue,details
1,201,A,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}]}"
1,551,C,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'silences': 15, 'speech_intervals': 16, 'matched': False}, {'noise': '-35dB', 'duration': 0.4, 'silences': 23, 'speech_intervals': 24, 'matched': False}, {'noise': '-35dB', 'duration': 0.8, 'silences': 12, 'speech_intervals': 13, 'matched': False}, {'noise': '-35dB', 'duration': 1.0, 'silences': 9, 'speech_intervals': 10, 'matched': False}, {'noise': '-35dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-35dB', 'duration': 1.5, 'silences': 3, 'speech_intervals': 4, 'matched': False}, {'noise': '-35dB', 'duration': 2.0, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-30dB', 'duration': 0.6, 'silences': 16, 'speech_intervals': 17, 'matched': False}, {'noise': '-30dB', 'duration': 0.4, 'silences': 23, 'speech_intervals': 24, 'matched': False}, {'noise': '-30dB', 'duration': 0.8, 'silences': 12, 'speech_intervals': 13, 'matched': False}, {'noise': '-30dB', 'duration': 1.0, 'silences': 9, 'speech_intervals': 10, 'matched': False}, {'noise': '-30dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-30dB', 'duration': 1.5, 'silences': 3, 'speech_intervals': 4, 'matched': False}, {'noise': '-30dB', 'duration': 2.0, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-40dB', 'duration': 0.6, 'silences': 15, 'speech_intervals': 16, 'matched': False}, {'noise': '-40dB', 'duration': 0.4, 'silences': 22, 'speech_intervals': 23, 'matched': False}, {'noise': '-40dB', 'duration': 0.8, 'silences': 12, 'speech_intervals': 13, 'matched': False}, {'noise': '-40dB', 'duration': 1.0, 'silences': 9, 'speech_intervals': 10, 'matched': False}, {'noise': '-40dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-40dB', 'duration': 1.5, 'silences': 3, 'speech_intervals': 4, 'matched': False}, {'noise': '-40dB', 'duration': 2.0, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-25dB', 'duration': 0.6, 'silences': 17, 'speech_intervals': 18, 'matched': False}, {'noise': '-25dB', 'duration': 0.4, 'silences': 24, 'speech_intervals': 25, 'matched': False}, {'noise': '-25dB', 'duration': 0.8, 'silences': 12, 'speech_intervals': 13, 'matched': False}, {'noise': '-25dB', 'duration': 1.0, 'silences': 10, 'speech_intervals': 11, 'matched': False}, {'noise': '-25dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-25dB', 'duration': 1.5, 'silences': 3, 'speech_intervals': 4, 'matched': False}, {'noise': '-25dB', 'duration': 2.0, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-45dB', 'duration': 0.6, 'silences': 15, 'speech_intervals': 16, 'matched': False}, {'noise': '-45dB', 'duration': 0.4, 'silences': 22, 'speech_intervals': 23, 'matched': False}, {'noise': '-45dB', 'duration': 0.8, 'silences': 12, 'speech_intervals': 13, 'matched': False}, {'noise': '-45dB', 'duration': 1.0, 'silences': 9, 'speech_intervals': 10, 'matched': False}, {'noise': '-45dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-45dB', 'duration': 1.5, 'silences': 3, 'speech_intervals': 4, 'matched': False}, {'noise': '-45dB', 'duration': 2.0, 'silences': 2, 'speech_intervals': 3, 'matched': False}]}"
1,851,C,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}]}"
2,1551,A,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'error': '1'}], 'error': 'duration_or_silence_detection_failed'}"
2,1801,A,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-35dB', 'duration': 0.4, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-35dB', 'duration': 0.8, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-35dB', 'duration': 1.0, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-35dB', 'duration': 1.2, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-35dB', 'duration': 1.5, 'silences': 1, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.6, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-30dB', 'duration': 0.4, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-30dB', 'duration': 0.8, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-30dB', 'duration': 1.0, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-30dB', 'duration': 1.2, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-30dB', 'duration': 1.5, 'silences': 3, 'speech_intervals': 3, 'matched': False}, {'noise': '-30dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.6, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-40dB', 'duration': 0.4, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-40dB', 'duration': 0.8, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-40dB', 'duration': 1.0, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-40dB', 'duration': 1.2, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-40dB', 'duration': 1.5, 'silences': 1, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.6, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-25dB', 'duration': 0.4, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-25dB', 'duration': 0.8, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-25dB', 'duration': 1.0, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-25dB', 'duration': 1.2, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-25dB', 'duration': 1.5, 'silences': 3, 'speech_intervals': 3, 'matched': False}, {'noise': '-25dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.6, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-45dB', 'duration': 0.4, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-45dB', 'duration': 0.8, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-45dB', 'duration': 1.0, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-45dB', 'duration': 1.2, 'silences': 7, 'speech_intervals': 7, 'matched': False}, {'noise': '-45dB', 'duration': 1.5, 'silences': 1, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 1, 'matched': False}]}"
3,2001,C,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'silences': 6, 'speech_intervals': 7, 'matched': False}, {'noise': '-35dB', 'duration': 0.4, 'silences': 10, 'speech_intervals': 11, 'matched': False}, {'noise': '-35dB', 'duration': 0.8, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-35dB', 'duration': 1.0, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-35dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-35dB', 'duration': 1.5, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-35dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 2, 'matched': False}, {'noise': '-30dB', 'duration': 0.6, 'silences': 6, 'speech_intervals': 7, 'matched': False}, {'noise': '-30dB', 'duration': 0.4, 'silences': 10, 'speech_intervals': 11, 'matched': False}, {'noise': '-30dB', 'duration': 0.8, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-30dB', 'duration': 1.0, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-30dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-30dB', 'duration': 1.5, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-30dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 2, 'matched': False}, {'noise': '-40dB', 'duration': 0.6, 'silences': 6, 'speech_intervals': 7, 'matched': False}, {'noise': '-40dB', 'duration': 0.4, 'silences': 10, 'speech_intervals': 11, 'matched': False}, {'noise': '-40dB', 'duration': 0.8, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-40dB', 'duration': 1.0, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-40dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-40dB', 'duration': 1.5, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-40dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 2, 'matched': False}, {'noise': '-25dB', 'duration': 0.6, 'silences': 6, 'speech_intervals': 7, 'matched': False}, {'noise': '-25dB', 'duration': 0.4, 'silences': 10, 'speech_intervals': 11, 'matched': False}, {'noise': '-25dB', 'duration': 0.8, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-25dB', 'duration': 1.0, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-25dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-25dB', 'duration': 1.5, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-25dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 2, 'matched': False}, {'noise': '-45dB', 'duration': 0.6, 'silences': 6, 'speech_intervals': 7, 'matched': False}, {'noise': '-45dB', 'duration': 0.4, 'silences': 10, 'speech_intervals': 11, 'matched': False}, {'noise': '-45dB', 'duration': 0.8, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-45dB', 'duration': 1.0, 'silences': 5, 'speech_intervals': 6, 'matched': False}, {'noise': '-45dB', 'duration': 1.2, 'silences': 4, 'speech_intervals': 5, 'matched': False}, {'noise': '-45dB', 'duration': 1.5, 'silences': 2, 'speech_intervals': 3, 'matched': False}, {'noise': '-45dB', 'duration': 2.0, 'silences': 1, 'speech_intervals': 2, 'matched': False}]}"
3,2051,C,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-35dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-30dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-40dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-25dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.6, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.4, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 0.8, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.2, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 1.5, 'silences': 0, 'speech_intervals': 1, 'matched': False}, {'noise': '-45dB', 'duration': 2.0, 'silences': 0, 'speech_intervals': 1, 'matched': False}]}"
3,2701,A,bad_segment_count,"{'attempts': [{'noise': '-35dB', 'duration': 0.6, 'error': '1'}], 'error': 'duration_or_silence_detection_failed'}"
