sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
107,1,101,6,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,31.318,32.287,0.969,media/ZS_F1_0107.mp3,F1-GMS-0101C 00:31.32-00:32.29
252,1,251,1,GLOSSIKA-ENZS-F1-GMS-0251C.mp3,11.254,12.121,0.867,media/ZS_F1_0252.mp3,F1-GMS-0251C 00:11.25-00:12.12
281,1,251,30,GLOSSIKA-ENZS-F1-GMS-0251C.mp3,145.339,146.284,0.945,media/ZS_F1_0281.mp3,F1-GMS-0251C 02:25.34-02:26.28
285,1,251,34,GLOSSIKA-ENZS-F1-GMS-0251C.mp3,160.679,161.502,0.824,media/ZS_F1_0285.mp3,F1-GMS-0251C 02:40.68-02:41.50
440,1,401,39,GLOSSIKA-ENZS-F1-GMS-0401C.mp3,194.363,195.247,0.884,media/ZS_F1_0440.mp3,F1-GMS-0401C 03:14.36-03:15.25
452,1,451,1,GLOSSIKA-ENZS-F1-GMS-0451C.mp3,3.818,4.689,0.871,media/ZS_F1_0452.mp3,F1-GMS-0451C 00:03.82-00:04.69
476,1,451,25,GLOSSIKA-ENZS-F1-GMS-0451C.mp3,115.936,116.715,0.779,media/ZS_F1_0476.mp3,F1-GMS-0451C 01:55.94-01:56.71
551,1,551,0,GLOSSIKA-ENZS-F1-GMS-0551B.mp3,3.813,4.617,0.805,media/ZS_F1_0551.mp3,F1-GMS-0551B 00:03.81-00:04.62
557,1,551,6,GLOSSIKA-ENZS-F1-GMS-0551B.mp3,64.471,65.374,0.903,media/ZS_F1_0557.mp3,F1-GMS-0551B 01:04.47-01:05.37
851,1,851,0,GLOSSIKA-ENZS-F1-GMS-0851B.mp3,3.813,4.617,0.805,media/ZS_F1_0851.mp3,F1-GMS-0851B 00:03.81-00:04.62
884,1,851,33,GLOSSIKA-ENZS-F1-GMS-0851B.mp3,358.581,359.366,0.785,media/ZS_F1_0884.mp3,F1-GMS-0851B 05:58.58-05:59.37
902,1,901,1,GLOSSIKA-ENZS-F1-GMS-0901C.mp3,3.818,4.689,0.871,media/ZS_F1_0902.mp3,F1-GMS-0901C 00:03.82-00:04.69
1352,2,1351,1,GLOSSIKA-ENZS-F2-GMS-1351C.mp3,3.730,4.601,0.871,media/ZS_F2_1352.mp3,F2-GMS-1351C 00:03.73-00:04.60
1625,2,1601,24,GLOSSIKA-ENZS-F2-GMS-1601C.mp3,150.479,151.443,0.964,media/ZS_F2_1625.mp3,F2-GMS-1601C 02:30.48-02:31.44
1839,2,1801,38,GLOSSIKA-ENZS-F2-GMS-1801C.mp3,250.545,251.383,0.839,media/ZS_F2_1839.mp3,F2-GMS-1801C 04:10.54-04:11.38
1902,2,1901,1,GLOSSIKA-ENZS-F2-GMS-1901C.mp3,3.730,4.601,0.871,media/ZS_F2_1902.mp3,F2-GMS-1901C 00:03.73-00:04.60
2001,3,2001,0,GLOSSIKA-ENZS-F3-GMS-2001B.mp3,6.781,7.652,0.871,media/ZS_F3_2001.mp3,F3-GMS-2001B 00:06.78-00:07.65
2051,3,2051,0,GLOSSIKA-ENZS-F3-GMS-2051B.mp3,6.781,7.652,0.871,media/ZS_F3_2051.mp3,F3-GMS-2051B 00:06.78-00:07.65
2056,3,2051,5,GLOSSIKA-ENZS-F3-GMS-2051B.mp3,64.934,65.921,0.987,media/ZS_F3_2056.mp3,F3-GMS-2051B 01:04.93-01:05.92
