sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
32,1,1,31,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,144.111,145.717,1.607,media/ZS_F1_0032.mp3,F1-GMS-0001C 02:24.11-02:25.72
33,1,1,32,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,147.634,149.465,1.831,media/ZS_F1_0033.mp3,F1-GMS-0001C 02:27.63-02:29.47
34,1,1,33,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,151.702,153.225,1.523,media/ZS_F1_0034.mp3,F1-GMS-0001C 02:31.70-02:33.22
35,1,1,34,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,155.594,157.334,1.740,media/ZS_F1_0035.mp3,F1-GMS-0001C 02:35.59-02:37.33
36,1,1,35,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,159.551,162.142,2.591,media/ZS_F1_0036.mp3,F1-GMS-0001C 02:39.55-02:42.14
37,1,1,36,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,164.061,165.614,1.553,media/ZS_F1_0037.mp3,F1-GMS-0001C 02:44.06-02:45.61
38,1,1,37,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,168.017,170.140,2.124,media/ZS_F1_0038.mp3,F1-GMS-0001C 02:48.02-02:50.14
39,1,1,38,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,172.316,173.634,1.318,media/ZS_F1_0039.mp3,F1-GMS-0001C 02:52.32-02:53.63
40,1,1,39,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,175.745,177.485,1.740,media/ZS_F1_0040.mp3,F1-GMS-0001C 02:55.74-02:57.48
41,1,1,40,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,179.451,180.879,1.428,media/ZS_F1_0041.mp3,F1-GMS-0001C 02:59.45-03:00.88
42,1,1,41,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,182.898,184.394,1.497,media/ZS_F1_0042.mp3,F1-GMS-0001C 03:02.90-03:04.39
43,1,1,42,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,186.531,188.491,1.960,media/ZS_F1_0043.mp3,F1-GMS-0001C 03:06.53-03:08.49
44,1,1,43,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,190.611,192.829,2.219,media/ZS_F1_0044.mp3,F1-GMS-0001C 03:10.61-03:12.83
45,1,1,44,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,194.873,196.343,1.469,media/ZS_F1_0045.mp3,F1-GMS-0001C 03:14.87-03:16.34
46,1,1,45,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,198.703,200.678,1.976,media/ZS_F1_0046.mp3,F1-GMS-0001C 03:18.70-03:20.68
47,1,1,46,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,202.580,204.238,1.658,media/ZS_F1_0047.mp3,F1-GMS-0001C 03:22.58-03:24.24
48,1,1,47,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,206.295,208.487,2.191,media/ZS_F1_0048.mp3,F1-GMS-0001C 03:26.30-03:28.49
49,1,1,48,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,210.455,211.647,1.192,media/ZS_F1_0049.mp3,F1-GMS-0001C 03:30.46-03:31.65
50,1,1,49,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,213.767,215.344,1.577,media/ZS_F1_0050.mp3,F1-GMS-0001C 03:33.77-03:35.34
51,1,51,0,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,6.869,8.890,2.021,media/ZS_F1_0051.mp3,F1-GMS-0051C 00:06.87-00:08.89
52,1,51,1,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,10.970,12.493,1.523,media/ZS_F1_0052.mp3,F1-GMS-0051C 00:10.97-00:12.49
