source,model,denoise,exit_code,segments,flagged_pct,processing_s,text_chars
Voice 016.m4a,large-v3,False,0,5,20.0,73.93696740001906,348
Voice 016.m4a,large-v3,True,0,3,100.0,28.33082579995971,160
Voice 016.m4a,medium,False,0,12,100.0,21.344451499986462,387
Voice 016.m4a,medium,True,0,31,100.0,33.76785699999891,1195
Record thầy Lâm (2).m4a,large-v3,False,0,72,0.0,58.39038029999938,3300
Record thầy Lâm (2).m4a,large-v3,True,0,83,0.0,56.980628499994054,3327
Record thầy Lâm (2).m4a,medium,False,0,58,10.34,42.08783340000082,3232
Record thầy Lâm (2).m4a,medium,True,0,57,45.61,42.578822499956004,3350
