kind,source,target,reason
move,C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\1\GMS-UPDATE,C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 1\Audio\GMS-UPDATE,move traditional Mandarin update audio
move,"C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\2\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.pdf",C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 2\Glossika Chinese Complete Fluency 2.pdf,rename Chinese Complete Fluency PDF
move,"C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\2\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.djvu",C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 2\Glossika Chinese Complete Fluency 2.djvu,rename Chinese Complete Fluency DJVU
move,C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\2\GMS,C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 2\Audio\GMS,move simplified Mandarin audio
move,C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\2\GMS-UPDATE,C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 2\Audio\GMS-UPDATE,move traditional Mandarin update audio
move,"C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\3\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.pdf",C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 3\Glossika Chinese Complete Fluency 3.pdf,rename Chinese Complete Fluency PDF
move,"C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\3\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.djvu",C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 3\Glossika Chinese Complete Fluency 3.djvu,rename Chinese Complete Fluency DJVU
move,C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\3\GMS,C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 3\Audio\GMS,move simplified Mandarin audio
move,C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\3\GMS-UPDATE,C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\Glossika Chinese Complete Fluency 3\Audio\GMS-UPDATE,move traditional Mandarin update audio
move,C:\Users\Admin\Documents\Language\Chinese (Mandarin) Complete Fluency Course - 2014\anki_build,C:\Users\Admin\Documents\Language\Glossika\Chinese\Complete Fluency\_derived\anki_build,move Anki build artifacts
move,"C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Business 1 - 2014\Campbell M., Chen Sh. - Chinese Mandarine Complete Fluency Course. Business 1 - 2014.pdf",C:\Users\Admin\Documents\Language\Glossika\Chinese\Business\Glossika Chinese Business 1\Glossika Chinese Business 1.pdf,rename Chinese Business 1 PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Business 1 - 2014\Audio,C:\Users\Admin\Documents\Language\Glossika\Chinese\Business\Glossika Chinese Business 1\Audio,move Chinese Business 1 audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-INTRO.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life Intro\Glossika Chinese Daily Life Intro.pdf,rename Daily Life intro PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-01.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 01\Glossika Chinese Daily Life 01.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-01A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 01\Audio\GLOSSIKA-DAILY-ENZH-01A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-01B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 01\Audio\GLOSSIKA-DAILY-ENZH-01B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-01C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 01\Audio\GLOSSIKA-DAILY-ENZH-01C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-02.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 02\Glossika Chinese Daily Life 02.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-02A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 02\Audio\GLOSSIKA-DAILY-ENZH-02A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-02B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 02\Audio\GLOSSIKA-DAILY-ENZH-02B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-02C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 02\Audio\GLOSSIKA-DAILY-ENZH-02C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-03.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 03\Glossika Chinese Daily Life 03.pdf,rename Daily Life lesson PDF
