kind,source,target,reason
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-03A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 03\Audio\GLOSSIKA-DAILY-ENZH-03A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-03B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 03\Audio\GLOSSIKA-DAILY-ENZH-03B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-03C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 03\Audio\GLOSSIKA-DAILY-ENZH-03C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-04.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 04\Glossika Chinese Daily Life 04.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-04A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 04\Audio\GLOSSIKA-DAILY-ENZH-04A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-04B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 04\Audio\GLOSSIKA-DAILY-ENZH-04B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-04C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 04\Audio\GLOSSIKA-DAILY-ENZH-04C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-05.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 05\Glossika Chinese Daily Life 05.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-05A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 05\Audio\GLOSSIKA-DAILY-ENZH-05A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-05B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 05\Audio\GLOSSIKA-DAILY-ENZH-05B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-05C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 05\Audio\GLOSSIKA-DAILY-ENZH-05C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-06.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 06\Glossika Chinese Daily Life 06.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-06A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 06\Audio\GLOSSIKA-DAILY-ENZH-06A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-06B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 06\Audio\GLOSSIKA-DAILY-ENZH-06B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-06C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 06\Audio\GLOSSIKA-DAILY-ENZH-06C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-07.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 07\Glossika Chinese Daily Life 07.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-07A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 07\Audio\GLOSSIKA-DAILY-ENZH-07A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-07B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 07\Audio\GLOSSIKA-DAILY-ENZH-07B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-07C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 07\Audio\GLOSSIKA-DAILY-ENZH-07C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-08.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 08\Glossika Chinese Daily Life 08.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-08A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 08\Audio\GLOSSIKA-DAILY-ENZH-08A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-08B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 08\Audio\GLOSSIKA-DAILY-ENZH-08B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-08C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 08\Audio\GLOSSIKA-DAILY-ENZH-08C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-09.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 09\Glossika Chinese Daily Life 09.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-09A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 09\Audio\GLOSSIKA-DAILY-ENZH-09A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-09B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 09\Audio\GLOSSIKA-DAILY-ENZH-09B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-09C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 09\Audio\GLOSSIKA-DAILY-ENZH-09C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-10.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 10\Glossika Chinese Daily Life 10.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-10A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 10\Audio\GLOSSIKA-DAILY-ENZH-10A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-10B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 10\Audio\GLOSSIKA-DAILY-ENZH-10B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-10C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 10\Audio\GLOSSIKA-DAILY-ENZH-10C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-11.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 11\Glossika Chinese Daily Life 11.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-11A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 11\Audio\GLOSSIKA-DAILY-ENZH-11A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-11B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 11\Audio\GLOSSIKA-DAILY-ENZH-11B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-11C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 11\Audio\GLOSSIKA-DAILY-ENZH-11C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-12.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 12\Glossika Chinese Daily Life 12.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-12A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 12\Audio\GLOSSIKA-DAILY-ENZH-12A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-12B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 12\Audio\GLOSSIKA-DAILY-ENZH-12B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-12C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 12\Audio\GLOSSIKA-DAILY-ENZH-12C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-13.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 13\Glossika Chinese Daily Life 13.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-13A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 13\Audio\GLOSSIKA-DAILY-ENZH-13A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-13B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 13\Audio\GLOSSIKA-DAILY-ENZH-13B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-13C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 13\Audio\GLOSSIKA-DAILY-ENZH-13C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-14.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 14\Glossika Chinese Daily Life 14.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-14A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 14\Audio\GLOSSIKA-DAILY-ENZH-14A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-14B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 14\Audio\GLOSSIKA-DAILY-ENZH-14B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-14C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 14\Audio\GLOSSIKA-DAILY-ENZH-14C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-15.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 15\Glossika Chinese Daily Life 15.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-15A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 15\Audio\GLOSSIKA-DAILY-ENZH-15A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-15B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 15\Audio\GLOSSIKA-DAILY-ENZH-15B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-15C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 15\Audio\GLOSSIKA-DAILY-ENZH-15C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-16.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 16\Glossika Chinese Daily Life 16.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-16A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 16\Audio\GLOSSIKA-DAILY-ENZH-16A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-16B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 16\Audio\GLOSSIKA-DAILY-ENZH-16B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-16C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 16\Audio\GLOSSIKA-DAILY-ENZH-16C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-17.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 17\Glossika Chinese Daily Life 17.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-17A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 17\Audio\GLOSSIKA-DAILY-ENZH-17A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-17B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 17\Audio\GLOSSIKA-DAILY-ENZH-17B.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-17C.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 17\Audio\GLOSSIKA-DAILY-ENZH-17C.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-18.unlocked.pdf,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 18\Glossika Chinese Daily Life 18.pdf,rename Daily Life lesson PDF
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-18A.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 18\Audio\GLOSSIKA-DAILY-ENZH-18A.mp3,move Daily Life lesson audio
move,C:\Users\Admin\Documents\Language\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\GMS\GLOSSIKA-DAILY-ENZH-18B.mp3,C:\Users\Admin\Documents\Language\Glossika\Chinese\Daily Life\Glossika Chinese Daily Life 18\Audio\GLOSSIKA-DAILY-ENZH-18B.mp3,move Daily Life lesson audio
