path,relative_path,name,extension,size,provider_guess
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\2\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 2 - 2016.md","Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\2\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 2 - 2016.md","Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 2 - 2016.md",.md,531900,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\2\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 2 - 2016.txt","Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\2\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 2 - 2016.txt","Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 2 - 2016.txt",.txt,524833,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\3\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 3 - 2016.md","Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\3\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 3 - 2016.md","Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 3 - 2016.md",.md,642961,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\3\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 3 - 2016.txt","Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\3\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 3 - 2016.txt","Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 3 - 2016.txt",.txt,635189,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\1\Campbell M., Shirakawa - Japanese Complete Fluency Course 1 - 2015.md","Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\1\Campbell M., Shirakawa - Japanese Complete Fluency Course 1 - 2015.md","Campbell M., Shirakawa - Japanese Complete Fluency Course 1 - 2015.md",.md,655658,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\1\Campbell M., Shirakawa - Japanese Complete Fluency Course 1 - 2015.txt","Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\1\Campbell M., Shirakawa - Japanese Complete Fluency Course 1 - 2015.txt","Campbell M., Shirakawa - Japanese Complete Fluency Course 1 - 2015.txt",.txt,650060,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\2\Campbell M., Shirakawa - Japanese Complete Fluency Course 2 - 2015.md","Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\2\Campbell M., Shirakawa - Japanese Complete Fluency Course 2 - 2015.md","Campbell M., Shirakawa - Japanese Complete Fluency Course 2 - 2015.md",.md,799245,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\2\Campbell M., Shirakawa - Japanese Complete Fluency Course 2 - 2015.txt","Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\2\Campbell M., Shirakawa - Japanese Complete Fluency Course 2 - 2015.txt","Campbell M., Shirakawa - Japanese Complete Fluency Course 2 - 2015.txt",.txt,792732,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\3\Campbell M., Shirakawa - Japanese Complete Fluency Course 3 - 2015.md","Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\3\Campbell M., Shirakawa - Japanese Complete Fluency Course 3 - 2015.md","Campbell M., Shirakawa - Japanese Complete Fluency Course 3 - 2015.md",.md,902704,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\3\Campbell M., Shirakawa - Japanese Complete Fluency Course 3 - 2015.txt","Glossika\_derived\converted_pdf_text\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015\3\Campbell M., Shirakawa - Japanese Complete Fluency Course 3 - 2015.txt","Campbell M., Shirakawa - Japanese Complete Fluency Course 3 - 2015.txt",.txt,895456,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\1\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 1 - 2014.md","Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\1\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 1 - 2014.md","Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 1 - 2014.md",.md,5943,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\1\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 1 - 2014.txt","Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\1\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 1 - 2014.txt","Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 1 - 2014.txt",.txt,5684,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\2\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.md","Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\2\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.md","Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.md",.md,5952,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\2\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.txt","Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\2\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.txt","Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 2 - 2014.txt",.txt,5693,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\3\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.md","Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\3\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.md","Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.md",.md,5951,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\3\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.txt","Glossika\_derived\converted_pdf_text\Chinese (Mandarin) Complete Fluency Course - 2014\3\Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.txt","Campbell M., Chen Sh., Yan S.Y. - Chinese (Mandarin) Complete Fluency Course 3 - 2014.txt",.txt,5692,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Business 1 - 2014\Campbell M., Chen Sh. - Chinese Mandarine Complete Fluency Course. Business 1 - 2014.md","Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Business 1 - 2014\Campbell M., Chen Sh. - Chinese Mandarine Complete Fluency Course. Business 1 - 2014.md","Campbell M., Chen Sh. - Chinese Mandarine Complete Fluency Course. Business 1 - 2014.md",.md,236155,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Business 1 - 2014\Campbell M., Chen Sh. - Chinese Mandarine Complete Fluency Course. Business 1 - 2014.txt","Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Business 1 - 2014\Campbell M., Chen Sh. - Chinese Mandarine Complete Fluency Course. Business 1 - 2014.txt","Campbell M., Chen Sh. - Chinese Mandarine Complete Fluency Course. Business 1 - 2014.txt",.txt,231046,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-01.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-01.unlocked.md,GLOSSIKA-DAILY-ENZH-01.unlocked.md,.md,13352,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-01.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-01.unlocked.txt,GLOSSIKA-DAILY-ENZH-01.unlocked.txt,.txt,12546,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-02.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-02.unlocked.md,GLOSSIKA-DAILY-ENZH-02.unlocked.md,.md,12185,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-02.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-02.unlocked.txt,GLOSSIKA-DAILY-ENZH-02.unlocked.txt,.txt,11379,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-03.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-03.unlocked.md,GLOSSIKA-DAILY-ENZH-03.unlocked.md,.md,12772,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-03.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-03.unlocked.txt,GLOSSIKA-DAILY-ENZH-03.unlocked.txt,.txt,11966,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-04.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-04.unlocked.md,GLOSSIKA-DAILY-ENZH-04.unlocked.md,.md,12901,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-04.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-04.unlocked.txt,GLOSSIKA-DAILY-ENZH-04.unlocked.txt,.txt,12095,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-05.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-05.unlocked.md,GLOSSIKA-DAILY-ENZH-05.unlocked.md,.md,11893,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-05.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-05.unlocked.txt,GLOSSIKA-DAILY-ENZH-05.unlocked.txt,.txt,11087,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-07.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-07.unlocked.md,GLOSSIKA-DAILY-ENZH-07.unlocked.md,.md,14841,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-07.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-07.unlocked.txt,GLOSSIKA-DAILY-ENZH-07.unlocked.txt,.txt,14035,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-08.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-08.unlocked.md,GLOSSIKA-DAILY-ENZH-08.unlocked.md,.md,11853,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-08.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-08.unlocked.txt,GLOSSIKA-DAILY-ENZH-08.unlocked.txt,.txt,11047,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-09.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-09.unlocked.md,GLOSSIKA-DAILY-ENZH-09.unlocked.md,.md,11991,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-09.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-09.unlocked.txt,GLOSSIKA-DAILY-ENZH-09.unlocked.txt,.txt,11185,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-10.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-10.unlocked.md,GLOSSIKA-DAILY-ENZH-10.unlocked.md,.md,12644,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-10.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-10.unlocked.txt,GLOSSIKA-DAILY-ENZH-10.unlocked.txt,.txt,11838,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-11.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-11.unlocked.md,GLOSSIKA-DAILY-ENZH-11.unlocked.md,.md,14354,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-11.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-11.unlocked.txt,GLOSSIKA-DAILY-ENZH-11.unlocked.txt,.txt,13548,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-12.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-12.unlocked.md,GLOSSIKA-DAILY-ENZH-12.unlocked.md,.md,11918,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-12.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-12.unlocked.txt,GLOSSIKA-DAILY-ENZH-12.unlocked.txt,.txt,11112,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-13.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-13.unlocked.md,GLOSSIKA-DAILY-ENZH-13.unlocked.md,.md,11944,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-13.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-13.unlocked.txt,GLOSSIKA-DAILY-ENZH-13.unlocked.txt,.txt,11138,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-14.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-14.unlocked.md,GLOSSIKA-DAILY-ENZH-14.unlocked.md,.md,11577,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-14.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-14.unlocked.txt,GLOSSIKA-DAILY-ENZH-14.unlocked.txt,.txt,10771,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-15.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-15.unlocked.md,GLOSSIKA-DAILY-ENZH-15.unlocked.md,.md,12853,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-15.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-15.unlocked.txt,GLOSSIKA-DAILY-ENZH-15.unlocked.txt,.txt,12047,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-16.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-16.unlocked.md,GLOSSIKA-DAILY-ENZH-16.unlocked.md,.md,12606,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-16.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-16.unlocked.txt,GLOSSIKA-DAILY-ENZH-16.unlocked.txt,.txt,11800,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-17.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-17.unlocked.md,GLOSSIKA-DAILY-ENZH-17.unlocked.md,.md,14452,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-17.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-17.unlocked.txt,GLOSSIKA-DAILY-ENZH-17.unlocked.txt,.txt,13646,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-18.unlocked.md,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-18.unlocked.md,GLOSSIKA-DAILY-ENZH-18.unlocked.md,.md,16095,Glossika
C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-18.unlocked.txt,Glossika\_derived\converted_pdf_text\Chinese Mandarine Complete Fluency Course. Daily Life - 2014\Books\GLOSSIKA-DAILY-ENZH-18.unlocked.txt,GLOSSIKA-DAILY-ENZH-18.unlocked.txt,.txt,15289,Glossika
