path,relative_path,name,extension,size,provider_guess
C:\Users\Admin\Documents\Language\_tools\__pycache__\language_library_organizer.cpython-311.pyc,_tools\__pycache__\language_library_organizer.cpython-311.pyc,language_library_organizer.cpython-311.pyc,.pyc,22705,
C:\Users\Admin\Documents\Language\_tools\language_library_organizer.py,_tools\language_library_organizer.py,language_library_organizer.py,.py,12566,
C:\Users\Admin\Documents\Language\Glossika\_archives\_converted_pdf_text.zip,Glossika\_archives\_converted_pdf_text.zip,_converted_pdf_text.zip,.zip,2916097,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_archives\Campbell M., Chen Sh. Камбел М., Чен Ш. - Glossika. Chinese Mandarine Complete Fluency Course. Business 1 Деловой китайский яз [rutracker-4936394].torrent","Glossika\_archives\Campbell M., Chen Sh. Камбел М., Чен Ш. - Glossika. Chinese Mandarine Complete Fluency Course. Business 1 Деловой китайский яз [rutracker-4936394].torrent","Campbell M., Chen Sh. Камбел М., Чен Ш. - Glossika. Chinese Mandarine Complete Fluency Course. Business 1 Деловой китайский яз [rutracker-4936394].torrent",.torrent,19781,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_archives\Campbell M., Chen Sh. Камбел М., Чен Ш. - Glossika. Chinese Mandarine Complete Fluency Course. Daily Life Повседневный китайск [rutracker-4940396].torrent","Glossika\_archives\Campbell M., Chen Sh. Камбел М., Чен Ш. - Glossika. Chinese Mandarine Complete Fluency Course. Daily Life Повседневный китайск [rutracker-4940396].torrent","Campbell M., Chen Sh. Камбел М., Чен Ш. - Glossika. Chinese Mandarine Complete Fluency Course. Daily Life Повседневный китайск [rutracker-4940396].torrent",.torrent,18181,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_archives\Campbell M., Chen Sh., Yan S.Y. Кемпбел М., Чен Ш., Ян С.Ю. - Glossika. Chinese (Mandarin) Complete Fluency Course 1-3 Китайск [rutracker-4995988].torrent","Glossika\_archives\Campbell M., Chen Sh., Yan S.Y. Кемпбел М., Чен Ш., Ян С.Ю. - Glossika. Chinese (Mandarin) Complete Fluency Course 1-3 Китайск [rutracker-4995988].torrent","Campbell M., Chen Sh., Yan S.Y. Кемпбел М., Чен Ш., Ян С.Ю. - Glossika. Chinese (Mandarin) Complete Fluency Course 1-3 Китайск [rutracker-4995988].torrent",.torrent,38082,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_archives\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015.zip","Glossika\_archives\Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015.zip","Campbell M., Shirakawa - Japanese Complete Fluency Course - 2015.zip",.zip,3026634941,Glossika
C:\Users\Admin\Documents\Language\Glossika\_archives\Glossika Mandarin Chinese.rar,Glossika\_archives\Glossika Mandarin Chinese.rar,Glossika Mandarin Chinese.rar,.rar,2300201140,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\1\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 1 - 2016.md","Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\1\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 1 - 2016.md","Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 1 - 2016.md",.md,425181,Glossika
"C:\Users\Admin\Documents\Language\Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\1\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 1 - 2016.txt","Glossika\_derived\converted_pdf_text\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course - 2016\1\Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 1 - 2016.txt","Campbell M., Dahye J. - Glossika Korean. Complete Fluency Course 1 - 2016.txt",.txt,418744,Glossika
